"vehicle.id","rating","renterTripsTaken","reviewCount","totaldays","price per day per rent"
44061,"5",13,12,71,20
69291,"5",2,1,4,20
83091,"4.92",28,24,98,15
80815,"5",21,20,95,20
43093,"5",3,1,11,15
90109,"5",13,12,52,15
63578,"4.42",13,12,78,10
42306,"4.9",12,10,65,20
78739,"5",1,1,10,20
87429,"4.76",22,17,101,20
96332,"4.95",23,22,136,15
16703,"4.7",11,10,138,15
48539,"5",11,7,131,20
46073,"4.92",51,38,326,15
74366,"4.88",61,56,175,15
84067,"4.5",2,2,29,15
43130,"5",23,20,105,10
50544,"4.67",5,3,55,20
30461,"5",24,19,113,20
21886,"4.5",4,2,18,15
90810,"4.92",70,52,143,20
76152,"5",3,1,22,15
12169,"4.72",20,18,115,15
13796,"4.85",61,46,183,20
36129,"4.82",18,11,124,20
90407,"4.8",63,54,109,15
59097,"5",21,19,54,15
45709,"5",21,20,139,15
27470,"5",3,3,40,20
57016,"5",21,19,96,20
10334,"5",9,8,144,20
92128,"5",9,8,148,20
83220,"5",5,3,107,15
18404,"5",1,1,38,15
71046,"4.5",3,2,84,15
77344,"4.58",27,19,155,15
69459,"5",45,44,182,20
22742,"4.83",8,6,43,20
42031,"4.94",34,33,116,20
27476,"5",12,10,149,15
45422,"5",2,2,96,20
91200,"4.93",18,14,141,20
42275,"4.89",94,80,240,15
90227,"4.85",112,110,208,20
50058,"4.87",40,30,133,20
43026,"4.89",40,35,128,15
97327,"5",15,11,43,20
20093,"4.96",103,102,223,15
94475,"4.97",37,35,130,15
55386,"4.99",81,73,231,20
74872,"4.96",60,51,213,20
24298,"5",23,21,14,15
12172,"5",41,36,138,15
71308,"5",29,27,52,20
51337,"4.88",18,16,104,20
66544,"4.95",42,40,126,15
92601,"5",42,38,21,20
47796,"4.83",9,6,76,20
23852,"4.92",40,38,66,20
72184,"4.88",88,74,277,15
34825,"5",1,1,26,20
66076,"4.84",38,32,48,20
50185,"4.92",76,71,229,15
10370,"5",5,5,24,15
77389,"4.85",35,27,50,20
18590,"4.97",32,29,62,15
53008,"4.98",72,59,113,20
85965,"5",17,11,124,20
34781,"4.82",56,50,126,10
96319,"4.93",22,15,146,20
79597,"4.95",69,66,84,20
59106,"4.9",61,50,142,20
46080,"4.84",71,58,196,15
67697,"5",17,16,73,10
52440,"4.89",9,9,79,20
42750,"4.93",19,15,58,15
79209,"5",2,2,21,20
88253,"5",45,40,219,15
41774,"5",21,19,115,20
33271,"4.98",54,44,74,15
57300,"5",70,62,184,15
96637,"5",13,13,57,20
40911,"5",51,44,92,20
14342,"4.94",61,51,371,15
48201,"5",5,4,10,15
76638,"5",2,2,34,20
84743,"5",39,31,123,20
75132,"5",14,14,15,20
44143,"4.94",18,18,140,20
85534,"5",13,13,76,15
62431,"4.89",56,47,126,20
73899,"4.93",51,49,81,15
79062,"5",2,2,33,20
97401,"5",12,11,34,20
50600,"5",25,22,73,20
35767,"4.92",37,36,43,20
72867,"5",35,35,41,20
93365,"4.94",19,18,144,20
36100,"4.97",41,34,70,15
65976,"5",41,39,50,15
22189,"4.89",11,9,33,20
12961,"4.9",14,10,78,15
73846,"4.86",7,7,65,20
25179,"4.91",53,45,357,10
73645,"5",5,5,43,20
34425,"5",6,5,75,20
84273,"5",12,11,60,20
39780,"5",2,2,13,20
71304,"4.82",71,61,361,15
76444,"5",6,5,35,20
36997,"4.73",27,26,142,20
99761,"4.96",59,54,326,20
29933,"5",5,4,125,20
95374,"5",3,1,29,20
87708,"4.85",51,48,321,20
59250,"5",23,21,45,20
43410,"4.85",28,26,141,15
83384,"4.74",28,23,53,20
57276,"5",26,21,31,15
19052,"4.77",17,13,101,20
40150,"4.51",51,39,216,15
20532,"5",15,9,77,20
21457,"4.88",47,42,169,20
50301,"5",2,1,16,20
31813,"4.87",56,47,229,15
29881,"4.92",45,40,99,20
99943,"5",3,2,29,15
54902,"4.86",30,28,154,20
72848,"5",14,11,149,20
54390,"5",27,24,123,15
48175,"5",6,6,15,15
24059,"5",58,55,309,20
91696,"4.92",33,25,44,20
97232,"5",15,14,19,15
59163,"5",5,3,19,20
99064,"5",15,15,28,15
24301,"5",10,10,108,20
80143,"5",11,8,133,15
49685,"4.89",69,65,244,20
81890,"4.98",128,117,181,20
22980,"5",24,23,135,15
